dataset,batch_id,record_count,json_data_bytes,json_data_kb,json_data_mb
batch_1_100_obs.json,1,100,21385,20.88,0.02
batch_2_250_obs.json,2,250,53459,52.21,0.051
batch_3_500_obs.json,3,500,106924,104.42,0.102
batch_4_1000_obs.json,4,1000,213835,208.82,0.204
batch_5_2000_obs.json,5,2000,427720,417.7,0.408
batch_6_3000_obs.json,6,3000,641522,626.49,0.612
batch_7_5000_obs.json,7,5000,1069189,1044.13,1.02
batch_8_7500_obs.json,8,7500,1603854,1566.26,1.53
batch_9_10000_obs.json,9,10000,2138394,2088.28,2.039
batch_10_20000_obs.json,10,20000,4276864,4176.62,4.079
batch_11_30000_obs.json,11,30000,6415152,6264.8,6.118
batch_12_50000_obs.json,12,50000,10691719,10441.13,10.196
